上海频道,#genre#
东方购物-3HD,http://qm920.myds.me:4022/udp/239.45.3.207:5140
东方购物-4HD,http://qm920.myds.me:4022/udp/239.45.3.208:5140
东方购物-5HD,http://qm920.myds.me:4022/udp/239.45.3.253:5140
优购物,http://qm920.myds.me:4022/udp/239.45.1.114:5140
好享购物,http://qm920.myds.me:4022/udp/239.45.1.253:5140
中视购物,http://qm920.myds.me:4022/udp/239.45.3.79:5140
家有购物,http://qm920.myds.me:4022/udp/239.45.1.43:5140
风尚购物,http://qm920.myds.me:4022/udp/239.45.1.27:5140
优购物HD,http://qm920.myds.me:4022/udp/239.45.0.36:5140
聚鲨环球精选,http://qm920.myds.me:4022/udp/239.45.3.123:5140
央广购物,http://qm920.myds.me:4022/udp/239.45.3.213:5140
家家购物,http://qm920.myds.me:4022/udp/239.45.3.179:5140
快乐购物,http://qm920.myds.me:4022/udp/239.45.1.53:5140

